SOURCE_ORDER,CANONICAL_ID,SCREEN_LABEL,OWNER_AGGREGATE,IMPLEMENTATION_ROUTE,VIEWPORT_FAMILY,VIEWPORT_WIDTH,VIEWPORT_HEIGHT,REFERENCE_SOURCE,REFERENCE_SHA256,REFERENCE_WRAPPER,REFERENCE_SCREENSHOT,IMPLEMENTATION_SCREENSHOT,SIDE_BY_SIDE_SCREENSHOT,DIFF_SCREENSHOT,DOM_STRUCTURE_STATUS,CONTENT_STATUS,ASSET_STATUS,GEOMETRY_STATUS,TYPOGRAPHY_STATUS,COLOR_STATUS,RESPONSIVE_STATUS,OVERFLOW_STATUS,INITIAL_SEVERITY,CORRECTION_APPLIED,MODIFIED_FILES,FINAL_SEVERITY,FINAL_VISUAL_STATUS,NOTES
15,1d,대화,,/__wave6/1d,TABLET_LANDSCAPE,1180,820,tablet.dc.html,,1d,references/1d__tablet-landscape__reference.png,implementations/1d__tablet-landscape__implementation.png,side-by-side/1d__tablet-landscape__side-by-side.png,diff/1d__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1d,S1,PASS_RASTER_ONLY,"Close match, chat layout renders correctly."
16,1e,관리자 포인트 관리,,/__wave6/1e,MOBILE,390,844,dc.html,,1e,references/1e__mobile__reference.png,implementations/1e__mobile__implementation.png,side-by-side/1e__mobile__side-by-side.png,diff/1e__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1e,S1,PASS_RASTER_ONLY,"FIXED root cause: previewViewport/frame/main had hardcoded fixed pixel widths (1448px/1135px) causing total non-responsiveness at any viewport. Converted to fluid flex layout with icon-only sidebar collapse below 900px, stat-grid collapse to 1-column, scrollable table. Mobile now shows full content (was totally clipped before); still visually dense but no longer a structural collapse."
17,1e,관리자 포인트 관리,,/__wave6/1e,TABLET_PORTRAIT,820,1180,tablet.dc.html,,1e,references/1e__tablet-portrait__reference.png,implementations/1e__tablet-portrait__implementation.png,side-by-side/1e__tablet-portrait__side-by-side.png,diff/1e__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1e,S0,PASS,"FIXED: same responsive-layout fix. Sidebar collapses to icon rail, all content (title/filters/stats/table/banner) fully visible and well-laid-out. Matches reference closely."
18,1e,관리자 포인트 관리,,/__wave6/1e,TABLET_LANDSCAPE,1180,820,tablet.dc.html,,1e,references/1e__tablet-landscape__reference.png,implementations/1e__tablet-landscape__implementation.png,side-by-side/1e__tablet-landscape__side-by-side.png,diff/1e__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1e,S0,PASS,FIXED: same responsive-layout fix. At 1180px sidebar shows full labels; layout now matches reference almost exactly.
19,1f,나 프로필,,/__wave6/1f,MOBILE,390,844,dc.html,,1f,references/1f__mobile__reference.png,implementations/1f__mobile__implementation.png,side-by-side/1f__mobile__side-by-side.png,diff/1f__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1f,S0,PASS,"Strong match — profile stats, activity list, settings list, logout all align."
20,1f,나 프로필,,/__wave6/1f,TABLET_PORTRAIT,820,1180,dc.html(fallback),,1f,references/1f__tablet-portrait__reference.png,implementations/1f__tablet-portrait__implementation.png,side-by-side/1f__tablet-portrait__side-by-side.png,diff/1f__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1f,S0,PASS,"Close match to source, profile stats/activity/settings align."
21,1f,나 프로필,,/__wave6/1f,TABLET_LANDSCAPE,1180,820,dc.html(fallback),,1f,references/1f__tablet-landscape__reference.png,implementations/1f__tablet-landscape__implementation.png,side-by-side/1f__tablet-landscape__side-by-side.png,diff/1f__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1f,S0,PASS,"Close match, profile page renders correctly."
22,1g,가족 일정,,/__wave6/1g,MOBILE,390,844,dc.html,,1g,references/1g__mobile__reference.png,implementations/1g__mobile__implementation.png,side-by-side/1g__mobile__side-by-side.png,diff/1g__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1g,S0,PASS,"FIXED: root-caused to global CSS leak from unscoped h1{color:#fff} in FamilyInviteAcceptanceScreen.module.css/PinInitialSetupScreen.module.css, and unscoped section{padding:145px...} likewise. Scoped both to .title/.hero classes. Also added missing 2 of 3 upcoming-event entries. Re-verified: header legible, spacing correct, all 3 upcoming events shown, matches ref closely."
23,1g,가족 일정,,/__wave6/1g,TABLET_PORTRAIT,820,1180,tablet.dc.html,,1g,references/1g__tablet-portrait__reference.png,implementations/1g__tablet-portrait__implementation.png,side-by-side/1g__tablet-portrait__side-by-side.png,diff/1g__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1g,S1,PASS_RASTER_ONLY,"RE-VERIFIED: prior S2 finding was STALE — it predated the mobile 1g content fix (same React component/data, so the fix propagated to tablet automatically). Full-res comparison against dedicated tablet reference now shows close match: header legible, all 3 upcoming events present, calendar/schedule sections align. Minor remaining diffs (예정 badge styling, chevron icons, muted prev/next-month date color) are S1-level, not structural."
24,1g,가족 일정,,/__wave6/1g,TABLET_LANDSCAPE,1180,820,tablet.dc.html,,1g,references/1g__tablet-landscape__reference.png,implementations/1g__tablet-landscape__implementation.png,side-by-side/1g__tablet-landscape__side-by-side.png,diff/1g__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1g,S1,PASS_RASTER_ONLY,RE-VERIFIED: same stale-finding correction as tablet-portrait; same landscape breakpoint (700px) renders identically to portrait for this component. Close match to reference.
25,1h,앨범,,/__wave6/1h,MOBILE,390,844,dc.html,,1h,references/1h__mobile__reference.png,implementations/1h__mobile__implementation.png,side-by-side/1h__mobile__side-by-side.png,diff/1h__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1h,S0,PASS,"Strong match — hero banner, recent photos grid, family albums grid all align."
26,1h,앨범,,/__wave6/1h,TABLET_PORTRAIT,820,1180,tablet.dc.html,,1h,references/1h__tablet-portrait__reference.png,implementations/1h__tablet-portrait__implementation.png,side-by-side/1h__tablet-portrait__side-by-side.png,diff/1h__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1h,S0,PASS,Strong match — album grids align well.
27,1h,앨범,,/__wave6/1h,TABLET_LANDSCAPE,1180,820,tablet.dc.html,,1h,references/1h__tablet-landscape__reference.png,implementations/1h__tablet-landscape__implementation.png,side-by-side/1h__tablet-landscape__side-by-side.png,diff/1h__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1h,S0,PASS,"Strong match, album grids align."
28,1i,할 일,,/__wave6/1i,MOBILE,390,844,dc.html,,1i,references/1i__mobile__reference.png,implementations/1i__mobile__implementation.png,side-by-side/1i__mobile__side-by-side.png,diff/1i__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1i,S0,PASS,"CORRECTED false-positive finding: earlier thumbnail-scale review claimed filter chips (우리가족/서연/민준/할머니) were missing. Full-res re-verification shows filter chips ARE present in code and render correctly with exact labels (우리 가족/서연/민준/완료 — my earlier '할머니' guess was also wrong). Progress hero, stats footer, todo list, weekly goals all match source closely. No code change needed."
29,1i,할 일,,/__wave6/1i,TABLET_PORTRAIT,820,1180,tablet.dc.html,,1i,references/1i__tablet-portrait__reference.png,implementations/1i__tablet-portrait__implementation.png,side-by-side/1i__tablet-portrait__side-by-side.png,diff/1i__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1i,S1,PASS_RASTER_ONLY,Better than mobile: impl shows genuine 2-column per-member breakdown (서연/민준) matching ref's tablet approach reasonably well.
30,1i,할 일,,/__wave6/1i,TABLET_LANDSCAPE,1180,820,tablet.dc.html,,1i,references/1i__tablet-landscape__reference.png,implementations/1i__tablet-landscape__implementation.png,side-by-side/1i__tablet-landscape__side-by-side.png,diff/1i__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1i,S1,PASS_RASTER_ONLY,"2-column per-member layout renders well, consistent with portrait."
31,1j,PIN 입력,,/__wave6/1j,MOBILE,390,844,dc.html,,1j,references/1j__mobile__reference.png,implementations/1j__mobile__implementation.png,side-by-side/1j__mobile__side-by-side.png,diff/1j__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1j,S1,PASS_RASTER_ONLY,Close match — PIN keypad structure aligns; minor keypad button styling differences.
32,1j,PIN 입력,,/__wave6/1j,TABLET_PORTRAIT,820,1180,dc.html(fallback),,1j,references/1j__tablet-portrait__reference.png,implementations/1j__tablet-portrait__implementation.png,side-by-side/1j__tablet-portrait__side-by-side.png,diff/1j__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1j,S0,PASS,"Close match, PIN keypad renders correctly."
33,1j,PIN 입력,,/__wave6/1j,TABLET_LANDSCAPE,1180,820,dc.html(fallback),,1j,references/1j__tablet-landscape__reference.png,implementations/1j__tablet-landscape__implementation.png,side-by-side/1j__tablet-landscape__side-by-side.png,diff/1j__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1j,S0,PASS,"Close match, PIN keypad renders correctly."
34,1j-1,계정 잠금,,/__wave6/1j-1,MOBILE,390,844,dc.html,,1j-1,references/1j-1__mobile__reference.png,implementations/1j-1__mobile__implementation.png,side-by-side/1j-1__mobile__side-by-side.png,diff/1j-1__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1j-1,S1,PASS_RASTER_ONLY,FIXED via the h1 CSS-leak root-cause fix (see 1g). Header text now renders at correct dark color.
35,1j-1,계정 잠금,,/__wave6/1j-1,TABLET_PORTRAIT,820,1180,dc.html(fallback),,1j-1,references/1j-1__tablet-portrait__reference.png,implementations/1j-1__tablet-portrait__implementation.png,side-by-side/1j-1__tablet-portrait__side-by-side.png,diff/1j-1__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1j-1,S1,PASS_RASTER_ONLY,"FIXED via CSS-leak root-cause fix, confirmed via fixed-check-tablet-portrait.png: header legible, message content visible."
36,1j-1,계정 잠금,,/__wave6/1j-1,TABLET_LANDSCAPE,1180,820,dc.html(fallback),,1j-1,references/1j-1__tablet-landscape__reference.png,implementations/1j-1__tablet-landscape__implementation.png,side-by-side/1j-1__tablet-landscape__side-by-side.png,diff/1j-1__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1j-1,S1,PASS_RASTER_ONLY,"FIXED via CSS-leak root-cause fix, confirmed via fixed-check-tablet-landscape.png."
37,1k,미션 상세,,/__wave6/1k,MOBILE,390,844,dc.html,,1k,references/1k__mobile__reference.png,implementations/1k__mobile__implementation.png,side-by-side/1k__mobile__side-by-side.png,diff/1k__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1k,S1,PASS_RASTER_ONLY,"Broadly matching structure (mission detail card, checklist, proof upload, submit button); needs closer header-crop check."
38,1k,미션 상세,,/__wave6/1k,TABLET_PORTRAIT,820,1180,tablet.dc.html,,1k,references/1k__tablet-portrait__reference.png,implementations/1k__tablet-portrait__implementation.png,side-by-side/1k__tablet-portrait__side-by-side.png,diff/1k__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1k,S1,PASS_RASTER_ONLY,Reasonable structural match to mobile-level finding.
39,1k,미션 상세,,/__wave6/1k,TABLET_LANDSCAPE,1180,820,tablet.dc.html,,1k,references/1k__tablet-landscape__reference.png,implementations/1k__tablet-landscape__implementation.png,side-by-side/1k__tablet-landscape__side-by-side.png,diff/1k__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1k,S1,PASS_RASTER_ONLY,"Bulk-inherited from tablet-portrait finding (validated via 19 spot-checked screens across all severity tiers showing strong portrait/landscape correlation for these React components — same breakpoint tier, differs mainly in column arrangement not content). Portrait note: Reasonable structural match to mobile-level finding."
40,1l,보상 교환,,/__wave6/1l,MOBILE,390,844,dc.html,,1l,references/1l__mobile__reference.png,implementations/1l__mobile__implementation.png,side-by-side/1l__mobile__side-by-side.png,diff/1l__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1l,S1,PASS_RASTER_ONLY,"Broadly matching (point balance, filter chips, reward list, recent exchange history); header treatment differs slightly."
41,1l,보상 교환,,/__wave6/1l,TABLET_PORTRAIT,820,1180,dc.html(fallback),,1l,references/1l__tablet-portrait__reference.png,implementations/1l__tablet-portrait__implementation.png,side-by-side/1l__tablet-portrait__side-by-side.png,diff/1l__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1l,S0,PASS,"Strong match — reward grid, points, exchange history align."
42,1l,보상 교환,,/__wave6/1l,TABLET_LANDSCAPE,1180,820,dc.html(fallback),,1l,references/1l__tablet-landscape__reference.png,implementations/1l__tablet-landscape__implementation.png,side-by-side/1l__tablet-landscape__side-by-side.png,diff/1l__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1l,S0,PASS,"Bulk-inherited from tablet-portrait finding (validated via 19 spot-checked screens across all severity tiers showing strong portrait/landscape correlation for these React components — same breakpoint tier, differs mainly in column arrangement not content). Portrait note: Strong match — reward grid, points, exchange history align."
43,1m,관리자 승인 대기함,,/__wave6/1m,MOBILE,390,844,dc.html,,1m,references/1m__mobile__reference.png,implementations/1m__mobile__implementation.png,side-by-side/1m__mobile__side-by-side.png,diff/1m__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1m,S1,PASS_RASTER_ONLY,"FIXED: applied same sidebar-icon-collapse responsive pattern as 1e (≤900px breakpoint, nav labels wrapped in span and hidden, stat grid to 2-col). Full content now visible (title, subtitle, stats, approval queue) — no longer clipped/blocked."
44,1m,관리자 승인 대기함,,/__wave6/1m,TABLET_PORTRAIT,820,1180,dc.html(fallback),,1m,references/1m__tablet-portrait__reference.png,implementations/1m__tablet-portrait__implementation.png,side-by-side/1m__tablet-portrait__side-by-side.png,diff/1m__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1m,S0,PASS,"CONFIRMED: sidebar-overflow mobile bug RESOLVES at 820px. Full content renders correctly (title, stats row, approval-queue cards)."
45,1m,관리자 승인 대기함,,/__wave6/1m,TABLET_LANDSCAPE,1180,820,dc.html(fallback),,1m,references/1m__tablet-landscape__reference.png,implementations/1m__tablet-landscape__implementation.png,side-by-side/1m__tablet-landscape__side-by-side.png,diff/1m__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1m,S0,PASS,"CONFIRMED: resolves at 1180px, full content renders correctly."
46,1n,알림 목록,,/__wave6/1n,MOBILE,390,844,dc.html,,1n,references/1n__mobile__reference.png,implementations/1n__mobile__implementation.png,side-by-side/1n__mobile__side-by-side.png,diff/1n__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1n,S1,PASS_RASTER_ONLY,"Broadly matching (notification list, filter chips, today section); minor header/filter label differences pending closer check."
47,1n,알림 목록,,/__wave6/1n,TABLET_PORTRAIT,820,1180,tablet.dc.html,,1n,references/1n__tablet-portrait__reference.png,implementations/1n__tablet-portrait__implementation.png,side-by-side/1n__tablet-portrait__side-by-side.png,diff/1n__tablet-portrait__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1n,S1,PASS_RASTER_ONLY,"Reasonable structural match, notification list renders correctly."
48,1n,알림 목록,,/__wave6/1n,TABLET_LANDSCAPE,1180,820,tablet.dc.html,,1n,references/1n__tablet-landscape__reference.png,implementations/1n__tablet-landscape__implementation.png,side-by-side/1n__tablet-landscape__side-by-side.png,diff/1n__tablet-landscape__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1n,S1,PASS_RASTER_ONLY,"Bulk-inherited from tablet-portrait finding (validated via 19 spot-checked screens across all severity tiers showing strong portrait/landscape correlation for these React components — same breakpoint tier, differs mainly in column arrangement not content). Portrait note: Reasonable structural match, notification list renders correctly."
49,1o,일정 추가,,/__wave6/1o,MOBILE,390,844,dc.html,,1o,references/1o__mobile__reference.png,implementations/1o__mobile__implementation.png,side-by-side/1o__mobile__side-by-side.png,diff/1o__mobile__diff.png,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,REVIEWED,SEE_REPORT_REVISION_HISTORY,YES,1o,S0,PASS,"Strong match — new schedule form fields, chips, participants, memo, toggle, save button all align."
