SOURCE_ORDER,SOURCE_FILE,SOURCE_SHA256,VIEWPORT_FAMILY,WRAPPER_ID,CANONICAL_ID,SCREEN_LABEL,REMOVED,HIDDEN,DUPLICATE_ID_GROUP,AUTHORITY_CONFLICT,RESPONSIVE_PAIR_ID,SOURCE_ROLE,REACT_SOURCE_PATH,CANONICAL_MARKER_FOUND,PREVIEW_ROUTE,ACTIVE_PRODUCT_ROUTE_CANDIDATE,IMPLEMENTATION_STATUS,EVIDENCE,NOTES
11,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1j,1j,PIN 입력,FALSE,FALSE,,FALSE,pair-1j,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/PinEntryPreview/index.tsx,TRUE,/__wave6/1j,,REACT_CANONICAL_CONFIRMED,wrapper#11,
12,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1j-1,1j-1,계정 잠금,FALSE,FALSE,,FALSE,pair-1j-1,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/AccountLockPreview/index.tsx,TRUE,/__wave6/1j-1,,REACT_CANONICAL_CONFIRMED,wrapper#12,
13,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1k,1k,미션 상세,FALSE,FALSE,,FALSE,pair-1k,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/MissionDetailPreview/index.tsx,TRUE,/__wave6/1k,,REACT_CANONICAL_CONFIRMED,wrapper#13,
14,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1l,1l,보상 교환,FALSE,FALSE,,FALSE,pair-1l,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/RewardExchangePreview/index.tsx,TRUE,/__wave6/1l,,REACT_CANONICAL_CONFIRMED,wrapper#14,
15,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,1m,1m,관리자 승인 대기함,FALSE,FALSE,,FALSE,pair-1m,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/MissionApprovalPreview/index.tsx,TRUE,/__wave6/1m,,REACT_CANONICAL_CONFIRMED,wrapper#15,
16,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1n,1n,알림 목록,FALSE,FALSE,,FALSE,pair-1n,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/NotificationListPreview/index.tsx,TRUE,/__wave6/1n,,REACT_CANONICAL_CONFIRMED,wrapper#16,
17,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1o,1o,일정 추가,FALSE,FALSE,,FALSE,pair-1o,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/ScheduleAddPreview/index.tsx,TRUE,/__wave6/1o,,REACT_CANONICAL_CONFIRMED,wrapper#17,
18,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1p,1p,사진 상세,FALSE,FALSE,,FALSE,pair-1p,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/PhotoDetailPreview/index.tsx,TRUE,/__wave6/1p,,REACT_CANONICAL_CONFIRMED,wrapper#18,
19,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1q,1q,가족 구성원 관리,FALSE,FALSE,,FALSE,pair-1q,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/FamilyMembersPreview/index.tsx,TRUE,/__wave6/1q,,REACT_CANONICAL_CONFIRMED,wrapper#19,
20,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1r,1r,온보딩,FALSE,FALSE,,FALSE,pair-1r,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/OnboardingPreview/index.tsx,TRUE,/__wave6/1r,,REACT_CANONICAL_CONFIRMED,wrapper#20,
21,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1s,1s,미션 반려,FALSE,FALSE,,FALSE,pair-1s,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/MissionRejectPreview/index.tsx,TRUE,/__wave6/1s,,REACT_CANONICAL_CONFIRMED,wrapper#21,
22,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1t,1t,채팅방 설정,FALSE,FALSE,,FALSE,pair-1t,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/ChatSettingsPreview/index.tsx,TRUE,/__wave6/1t,,REACT_CANONICAL_CONFIRMED,wrapper#22,
23,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1u,1u,PIN 변경,FALSE,FALSE,,FALSE,pair-1u,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/PinChangePreview/index.tsx,TRUE,/__wave6/1u,,REACT_CANONICAL_CONFIRMED,wrapper#23,
24,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,1v,1v,가족 규칙 설정,FALSE,FALSE,,FALSE,pair-1v,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/FamilyRulesPreview/index.tsx,TRUE,/__wave6/1v,,REACT_CANONICAL_CONFIRMED,wrapper#24,
25,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1w,1w,앨범 검색 결과,FALSE,FALSE,,FALSE,pair-1w,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/AlbumSearchPreview/index.tsx,TRUE,/__wave6/1w,,REACT_CANONICAL_CONFIRMED,wrapper#25,
26,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1x,1x,자녀 주간 리포트,FALSE,FALSE,,FALSE,pair-1x,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/WeeklyReportPreview/index.tsx,TRUE,/__wave6/1x,,REACT_CANONICAL_CONFIRMED,wrapper#26,
27,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1y,1y,네트워크 오류,FALSE,FALSE,1y,TRUE,pair-1y,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,AUTHORITY_CONFLICT,wrapper#27,three labels one ID
27,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1y,1y,알림 없음,FALSE,FALSE,1y,TRUE,pair-1y,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,AUTHORITY_CONFLICT,wrapper#27,three labels one ID
27,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1y,1y,검색 결과 없음,FALSE,FALSE,1y,TRUE,pair-1y,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,AUTHORITY_CONFLICT,wrapper#27,three labels one ID
28,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1z0-removed,,기본 모달,TRUE,TRUE,,FALSE,NOT_APPLICABLE,AUTHORITATIVE_PARTIAL_SOURCE,,FALSE,,,REMOVED,wrapper#28,superseded
29,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,1z1-removed,,미션 관리,TRUE,TRUE,,FALSE,NOT_APPLICABLE,AUTHORITATIVE_PARTIAL_SOURCE,,FALSE,,,REMOVED,wrapper#29,superseded
30,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,1z2-removed,,사용자 관리 상세,TRUE,TRUE,,FALSE,NOT_APPLICABLE,AUTHORITATIVE_PARTIAL_SOURCE,,FALSE,,,REMOVED,wrapper#30,superseded
31,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1z3-removed,,사진 파일 전체보기,TRUE,TRUE,,FALSE,NOT_APPLICABLE,AUTHORITATIVE_PARTIAL_SOURCE,,FALSE,,,REMOVED,wrapper#31,superseded
32,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1z4-removed,,레벨업 축하,TRUE,TRUE,,FALSE,NOT_APPLICABLE,AUTHORITATIVE_PARTIAL_SOURCE,,FALSE,,,REMOVED,wrapper#32,superseded
33,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1z5-removed,,비밀번호 찾기 - 이메일,TRUE,TRUE,,FALSE,NOT_APPLICABLE,AUTHORITATIVE_PARTIAL_SOURCE,,FALSE,,,REMOVED,wrapper#33,superseded
33,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,1z5-removed,,비밀번호 찾기 - 발송완료,TRUE,TRUE,,FALSE,NOT_APPLICABLE,AUTHORITATIVE_PARTIAL_SOURCE,,FALSE,,,REMOVED,wrapper#33,superseded
34,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,1z,1z,기본 모달 폼,FALSE,FALSE,,FALSE,pair-1z,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/BasicModalPreview/index.tsx,TRUE,/__wave6/1z,,REACT_CANONICAL_CONFIRMED,wrapper#34,
35,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,2a,2a,사용자 관리 상세,FALSE,FALSE,,FALSE,pair-2a,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/UserManagementDetailPreview/index.tsx,TRUE,/__wave6/2a,,REACT_CANONICAL_CONFIRMED,wrapper#35,
36,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2b,2b,사진/파일 전체보기,FALSE,FALSE,,FALSE,pair-2b,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/FileViewerPreview/index.tsx,TRUE,/__wave6/2b,,REACT_CANONICAL_CONFIRMED,wrapper#36,
37,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2c,2c,레벨업 축하,FALSE,FALSE,,FALSE,pair-2c,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/LevelUpPreview/index.tsx,TRUE,/__wave6/2c,,REACT_CANONICAL_CONFIRMED,wrapper#37,
38,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2d,2d,비밀번호 찾기,FALSE,FALSE,2d,TRUE,pair-2d,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,AUTHORITY_CONFLICT,wrapper#38,two labels one ID
38,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2d,2d,이메일 인증,FALSE,FALSE,2d,TRUE,pair-2d,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,AUTHORITY_CONFLICT,wrapper#38,two labels one ID
39,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,2e,2e,미션 목록 관리,FALSE,FALSE,,FALSE,pair-2e,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/MissionManagementPreview/index.tsx,TRUE,/__wave6/2e,,REACT_CANONICAL_CONFIRMED,wrapper#39,
40,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2f,2f,자녀 초대 승인,FALSE,FALSE,,FALSE,pair-2f,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/ChildInvitePreview/index.tsx,TRUE,/__wave6/2f,,REACT_CANONICAL_CONFIRMED,wrapper#40,
41,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2g,2g,채팅 답장,FALSE,FALSE,,FALSE,pair-2g,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/ChatReplyPreview/index.tsx,TRUE,/__wave6/2g,,REACT_CANONICAL_CONFIRMED,wrapper#41,
42,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2h,2h,교환 확인,FALSE,FALSE,,FALSE,pair-2h,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/ExchangeConfirmPreview/index.tsx,TRUE,/__wave6/2h,,REACT_CANONICAL_CONFIRMED,wrapper#42,
43,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,2i,2i,부모 대시보드,FALSE,FALSE,,FALSE,pair-2i,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/ParentDashboardPreview/index.tsx,TRUE,/__wave6/2i,,REACT_CANONICAL_CONFIRMED,wrapper#43,
44,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2j,2j,리워드샵,FALSE,FALSE,,FALSE,pair-2j,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/RewardShopPreview/index.tsx,TRUE,/__wave6/2j,,REACT_CANONICAL_CONFIRMED,wrapper#44,
45,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2k,2k,설정 전체 목록,FALSE,FALSE,,FALSE,pair-2k,AUTHORITATIVE_FULL_SOURCE,frontend/src/pages/SettingsListPreview/index.tsx,TRUE,/__wave6/2k,,REACT_CANONICAL_CONFIRMED,wrapper#45,
46,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,2l,2l,미션 만들기 폼,FALSE,FALSE,,FALSE,pair-2l,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#46,
47,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,2m,2m,미션 상세 폼,FALSE,FALSE,,FALSE,pair-2m,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#47,
48,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2n,2n,알림 세부설정,FALSE,FALSE,,FALSE,pair-2n,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#48,
49,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,2o,2o,포인트 정책 편집,FALSE,FALSE,,FALSE,pair-2o,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#49,
50,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,2p,2p,초대 목록,FALSE,FALSE,,FALSE,pair-2p,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#50,
51,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2q,2q,가족 규칙 안내,FALSE,FALSE,,FALSE,pair-2q,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#51,
52,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2r,2r,가족 활동 로그,FALSE,FALSE,,FALSE,pair-2r,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#52,
53,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2s,2s,PIN 최초 설정,FALSE,FALSE,,FALSE,pair-2s,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#53,
54,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,2t,2t,관리자 알림 발송,FALSE,FALSE,,FALSE,pair-2t,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#54,
55,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2u,2u,일정 상세,FALSE,FALSE,,FALSE,pair-2u,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#55,
56,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2v,2v,앨범 업로드 진행,FALSE,FALSE,,FALSE,pair-2v,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#56,
57,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2w,2w,가족 초대 수락,FALSE,FALSE,,FALSE,pair-2w,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#57,
58,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,2x,2x,미션 통계 대시보드,FALSE,FALSE,,FALSE,pair-2x,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#58,
59,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2y,2y,앨범 공유설정,FALSE,FALSE,,FALSE,pair-2y,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#59,
60,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,2z,2z,프로필 편집,FALSE,FALSE,,FALSE,pair-2z,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#60,
61,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,3a,3a,가족 캘린더 공유,FALSE,FALSE,,FALSE,pair-3a,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#61,
62,source/가족 플랫폼 화면 재현.dc.html,d0c42227,DESKTOP_PRIMARY,3b,3b,미션 통계 필터,FALSE,FALSE,,FALSE,pair-3b,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#62,
63,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,3c,3c,가족 게시판,FALSE,FALSE,,FALSE,pair-3c,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#63,
64,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,3d,3d,댓글 작성,FALSE,FALSE,,FALSE,pair-3d,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#64,
65,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,3e,3e,인기 게시글,FALSE,FALSE,,FALSE,pair-3e,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#65,
66,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,3f,3f,언어 설정,FALSE,FALSE,,FALSE,pair-3f,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#66,
67,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,3g,3g,화면 테마 설정,FALSE,FALSE,,FALSE,pair-3g,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#67,
68,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,3h,3h,계정 탈퇴 확인,FALSE,FALSE,,FALSE,pair-3h,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#68,
69,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,3i,3i,가족 초대 취소,FALSE,FALSE,,FALSE,pair-3i,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#69,
70,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,3j,3j,검색 전체,FALSE,FALSE,,FALSE,pair-3j,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#70,
71,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,3k,3k,위젯 갤러리,FALSE,FALSE,,FALSE,pair-3k,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#71,
72,source/가족 플랫폼 화면 재현.dc.html,d0c42227,MOBILE,3l,3l,바로가기 편집,FALSE,FALSE,,FALSE,pair-3l,AUTHORITATIVE_FULL_SOURCE,,FALSE,,,TOKENIZED_NOT_IMPLEMENTED,wrapper#72,
