SOURCE_ORDER,CANONICAL_ID,INTERNAL_DISAMBIGUATED_ID,SCREEN_LABEL,DOMAIN,OWNER_AGGREGATE,PRIMARY_ROLE,SECONDARY_ROLE,PARENT_OWNER,PARENT_SCREEN_ID,PARENT_SCREEN_LABEL,RELATION_TYPE,ROUTE_REQUIREMENT,CURRENT_REACT_SOURCE,CURRENT_PREVIEW_ROUTE,CURRENT_PRODUCT_ROUTE,PREVIEW_PRODUCT_RELATION,INTEGRATION_ACTION,FINAL_INTEGRATION_TARGET,TARGET_PATH_CONFIDENCE,RESPONSIVE_FAMILY,SHARED_DISPOSITION,API_DOMAIN,API_READINESS_REFERENCE,PM_DECISION_REQUIRED,EVIDENCE,NOTES,W7_2_PORT_READY
19,1q,1q-family-members,가족 구성원 관리,FAMILY_MEMBERSHIP,FAMILY_CONTEXT,ROUTE_PAGE,,FAMILY_CONTEXT,1b,홈,CHILD_OF,NEW_ROUTE_REQUIRED,frontend/src/pages/FamilyMembersPreview/index.tsx,/__wave6/1q,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_ROUTE_SCREEN,frontend/src/features/family-members/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,FAMILY,API_READY,NO,Family context and membership API,,NOT_APPLICABLE
20,1r,1r-onboarding,온보딩,ONBOARDING,FAMILY_CONTEXT,ROUTE_PAGE,,FAMILY_CONTEXT,NONE,NONE,ROOT_OF,NEW_ROUTE_REQUIRED,frontend/src/pages/OnboardingPreview/index.tsx,/__wave6/1r,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_ROUTE_SCREEN,frontend/src/features/family-onboarding/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,FAMILY,API_PARTIAL,YES,Onboarding needs product entry policy,,NOT_APPLICABLE
21,1s,1s-mission-reject,미션 반려,MISSION,USER_DASHBOARD,MODAL_DIALOG,,USER_DASHBOARD,1k,미션 상세,OPENS,NO_ROUTE,frontend/src/pages/MissionRejectPreview/index.tsx,/__wave6/1s,,PREVIEW_REFERENCE_ONLY,CREATE_MODAL_OR_DIALOG,frontend/src/platform/markpoint/MarkpointUser.tsx,TARGET_OWNER_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,MARKPOINT,API_PARTIAL,NO,Rejection outcome state,,NOT_APPLICABLE
22,1t,1t-chat-settings,채팅방 설정,CONVERSATION_WAGLE,WAGLE,NESTED_ROUTE,,WAGLE,1d,대화,CHILD_OF,NEW_NESTED_ROUTE_REQUIRED,frontend/src/pages/ChatSettingsPreview/index.tsx,/__wave6/1t,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_NESTED_VIEW,frontend/src/platform/wagle/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,WAGLE,API_PARTIAL,NO,Room-scoped settings,,NOT_APPLICABLE
23,1u,1u-pin-change,PIN 변경,ACCOUNT_AUTH,FAMILY_CONTEXT,NESTED_ROUTE,,FAMILY_CONTEXT,1f,나 프로필,CHILD_OF,NEW_NESTED_ROUTE_REQUIRED,frontend/src/pages/PinChangePreview/index.tsx,/__wave6/1u,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_NESTED_VIEW,frontend/src/pages/profile/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,ACCOUNT_AUTH,API_READY,NO,Account security setting,,NOT_APPLICABLE
24,1v,1v-family-rules,가족 규칙 설정,ADMIN_FAMILY,FAMILY_CONTEXT,ROUTE_PAGE,,FAMILY_CONTEXT,1q,가족 구성원 관리,CHILD_OF,NEW_ROUTE_REQUIRED,frontend/src/pages/FamilyRulesPreview/index.tsx,/__wave6/1v,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_ROUTE_SCREEN,frontend/src/features/family-rules/,TARGET_DIRECTORY_CANDIDATE,DESKTOP_PRIMARY,OWNER_LOCAL,FAMILY,API_PARTIAL,NO,Family admin policy,,NOT_APPLICABLE
25,1w,1w-album-search,앨범 검색 결과,ALBUM_PHOTO,FAMILY_CONTEXT,STATE_VARIANT,,FAMILY_CONTEXT,1h,앨범,VARIANT_OF,NO_ROUTE,frontend/src/pages/AlbumSearchPreview/index.tsx,/__wave6/1w,,PREVIEW_REFERENCE_ONLY,IMPLEMENT_AS_STATE_VARIANT,frontend/src/features/family-album/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,FAMILY,API_MISSING,NO,Search mode within album,,NOT_APPLICABLE
26,1x,1x-weekly-report,자녀 주간 리포트,ADMIN_MISSION,ADMIN_DASHBOARD,NESTED_ROUTE,,ADMIN_DASHBOARD,2i,부모 대시보드,CHILD_OF,NEW_NESTED_ROUTE_REQUIRED,frontend/src/pages/WeeklyReportPreview/index.tsx,/__wave6/1x,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_NESTED_VIEW,frontend/src/pages/AdminDashboard/views/DashboardView/,TARGET_OWNER_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,MARKPOINT,API_PARTIAL,NO,Child-specific report,,NOT_APPLICABLE
27,1y,1y-network-error,네트워크 오류,CROSS_DOMAIN,FAMILY_CONTEXT,STATE_VARIANT,,MongleAppShell,NONE,NONE,DEPENDENT_ON,NO_ROUTE,,,,PRODUCT_MAPPING_UNRESOLVED,IMPLEMENT_AS_STATE_VARIANT,frontend/src/platform/shell/MongleAppShell.tsx,EXACT_PATH_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,NOT_APPLICABLE,NOT_APPLICABLE,YES,Shell has backend_unavailable state,Proposed internal ID only,NOT_APPLICABLE
27,1y,1y-notification-empty,알림 없음,NOTIFICATION,FAMILY_CONTEXT,STATE_VARIANT,,FAMILY_CONTEXT,1n,알림 목록,VARIANT_OF,NO_ROUTE,,,,PRODUCT_MAPPING_UNRESOLVED,IMPLEMENT_AS_STATE_VARIANT,frontend/src/features/notifications/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,FAMILY,API_PARTIAL,YES,Source label context,Proposed internal ID only,NOT_APPLICABLE
27,1y,1y-search-empty,검색 결과 없음,ALBUM_PHOTO,FAMILY_CONTEXT,STATE_VARIANT,,FAMILY_CONTEXT,1w,앨범 검색 결과,VARIANT_OF,NO_ROUTE,,,,PRODUCT_MAPPING_UNRESOLVED,IMPLEMENT_AS_STATE_VARIANT,frontend/src/features/family-album/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,FAMILY,API_MISSING,YES,Source label context,Proposed internal ID only,NOT_APPLICABLE
34,1z,1z-admin-mission-modal,기본 모달 폼,ADMIN_MISSION,ADMIN_DASHBOARD,MODAL_DIALOG,,ADMIN_DASHBOARD,2e,미션 목록 관리,OPENS,NO_ROUTE,frontend/src/pages/BasicModalPreview/index.tsx,/__wave6/1z,/admin/missions,PREVIEW_REFERENCE_ONLY,CREATE_MODAL_OR_DIALOG,frontend/src/pages/AdminDashboard/views/MissionView/,EXACT_PATH_CONFIRMED,DESKTOP_PRIMARY,SHARED_CANDIDATE_AFTER_WIRING,MARKPOINT,API_READY,NO,Source says admin mission form,,NOT_APPLICABLE
35,2a,2a-user-detail,사용자 관리 상세,ADMIN_ACCOUNT,ADMIN_DASHBOARD,NESTED_ROUTE,,ADMIN_DASHBOARD,1q,가족 구성원 관리,CHILD_OF,EXISTING_NESTED_ROUTE,frontend/src/pages/UserManagementDetailPreview/index.tsx,/__wave6/2a,/admin/players,PREVIEW_REFERENCE_ONLY,MERGE_CANONICAL_INTO_EXISTING_VIEW,frontend/src/pages/AdminDashboard/views/PlayerView/,EXACT_PATH_CONFIRMED,DESKTOP_PRIMARY,KEEP_PAGE_LOCAL,FAMILY,API_READY,NO,PlayerView existing route,,NOT_APPLICABLE
36,2b,2b-chat-media,사진/파일 전체보기,CONVERSATION_WAGLE,WAGLE,PAGE_VIEW,,WAGLE,1d,대화,CHILD_OF,NO_ROUTE,frontend/src/pages/FileViewerPreview/index.tsx,/__wave6/2b,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_NESTED_VIEW,frontend/src/platform/wagle/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,WAGLE,API_PARTIAL,NO,Room composition view,,NOT_APPLICABLE
37,2c,2c-level-up,레벨업 축하,POINT,USER_DASHBOARD,MODAL_DIALOG,,USER_DASHBOARD,1c,포인트 잔치,OPENS,NO_ROUTE,frontend/src/pages/LevelUpPreview/index.tsx,/__wave6/2c,,PREVIEW_REFERENCE_ONLY,CREATE_MODAL_OR_DIALOG,frontend/src/platform/markpoint/MarkpointUser.tsx,TARGET_OWNER_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,MARKPOINT,API_PARTIAL,NO,Outcome modal,,NOT_APPLICABLE
38,2d,2d-password-recovery,비밀번호 찾기,ACCOUNT_AUTH,AUTH_FLOW,NESTED_ROUTE,,AUTH_FLOW,1a-1,로그인 폼,CHILD_OF,ROUTE_DECISION_REQUIRED,,,,PRODUCT_MAPPING_UNRESOLVED,PM_DECISION_REQUIRED,frontend/src/pages/A1AccountLogin/,TARGET_OWNER_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,ACCOUNT_AUTH,POLICY_REQUIRED,YES,Source flow and login page,Proposed internal ID only,NOT_APPLICABLE
38,2d,2d-email-verification,이메일 인증,ACCOUNT_AUTH,AUTH_FLOW,STATE_VARIANT,NESTED_ROUTE,AUTH_FLOW,2d-password-recovery,비밀번호 찾기,CHILD_OF,ROUTE_DECISION_REQUIRED,,,,PRODUCT_MAPPING_UNRESOLVED,PM_DECISION_REQUIRED,frontend/src/pages/A1AccountLogin/,TARGET_OWNER_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,ACCOUNT_AUTH,POLICY_REQUIRED,YES,Source flow and login page,Proposed internal ID only,NOT_APPLICABLE
39,2e,2e-mission-management,미션 목록 관리,ADMIN_MISSION,ADMIN_DASHBOARD,NESTED_ROUTE,,ADMIN_DASHBOARD,NONE,NONE,ROOT_OF,EXISTING_NESTED_ROUTE,frontend/src/pages/MissionManagementPreview/index.tsx,/__wave6/2e,/admin/missions,PREVIEW_REFERENCE_ONLY,REPLACE_EXISTING_VIEW_VISUALS,frontend/src/pages/AdminDashboard/views/MissionView/,EXACT_PATH_CONFIRMED,DESKTOP_PRIMARY,KEEP_PAGE_LOCAL,MARKPOINT,API_READY,NO,Admin route registry,,NOT_APPLICABLE
40,2f,2f-child-invite-approval,자녀 초대 승인,FAMILY_MEMBERSHIP,FAMILY_CONTEXT,MODAL_DIALOG,,FAMILY_CONTEXT,1q,가족 구성원 관리,OPENS,NO_ROUTE,frontend/src/pages/ChildInvitePreview/index.tsx,/__wave6/2f,,PREVIEW_REFERENCE_ONLY,CREATE_MODAL_OR_DIALOG,frontend/src/features/family-members/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,FAMILY,API_READY,NO,Invite approval action,,NOT_APPLICABLE
41,2g,2g-chat-reply,채팅 답장,CONVERSATION_WAGLE,WAGLE,PAGE_VIEW,,WAGLE,1d,대화,CHILD_OF,NO_ROUTE,frontend/src/pages/ChatReplyPreview/index.tsx,/__wave6/2g,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_NESTED_VIEW,frontend/src/platform/wagle/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,WAGLE,API_PARTIAL,NO,Composer mode,,NOT_APPLICABLE
42,2h,2h-exchange-confirm,교환 확인,REWARD,USER_DASHBOARD,MODAL_DIALOG,,USER_DASHBOARD,1l,보상 교환,OPENS,NO_ROUTE,frontend/src/pages/ExchangeConfirmPreview/index.tsx,/__wave6/2h,,PREVIEW_REFERENCE_ONLY,CREATE_MODAL_OR_DIALOG,frontend/src/platform/markpoint/MarkpointUser.tsx,TARGET_OWNER_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,MARKPOINT,API_PARTIAL,NO,Confirmation action,,NOT_APPLICABLE
43,2i,2i-parent-dashboard,부모 대시보드,ADMIN_MISSION,ADMIN_DASHBOARD,NESTED_ROUTE,,ADMIN_DASHBOARD,NONE,NONE,ROOT_OF,EXISTING_NESTED_ROUTE,frontend/src/pages/ParentDashboardPreview/index.tsx,/__wave6/2i,/admin,PREVIEW_REFERENCE_ONLY,REPLACE_EXISTING_VIEW_VISUALS,frontend/src/pages/AdminDashboard/views/DashboardView/,EXACT_PATH_CONFIRMED,DESKTOP_PRIMARY,KEEP_PAGE_LOCAL,MARKPOINT,API_READY,NO,Admin index route,,NOT_APPLICABLE
44,2j,2j-reward-shop,리워드샵,REWARD,USER_DASHBOARD,NESTED_ROUTE,,USER_DASHBOARD,1c,포인트 잔치,CHILD_OF,NEW_NESTED_ROUTE_REQUIRED,frontend/src/pages/RewardShopPreview/index.tsx,/__wave6/2j,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_NESTED_VIEW,frontend/src/platform/markpoint/MarkpointUser.tsx,TARGET_OWNER_CONFIRMED,MOBILE_TABLET_PORTRAIT_LANDSCAPE,KEEP_PAGE_LOCAL,MARKPOINT,API_PARTIAL,NO,Reward destination,,NOT_APPLICABLE
45,2k,2k-settings-index,설정 전체 목록,PROFILE,FAMILY_CONTEXT,ROUTE_PAGE,,FAMILY_CONTEXT,1f,나 프로필,CHILD_OF,NEW_ROUTE_REQUIRED,frontend/src/pages/SettingsListPreview/index.tsx,/__wave6/2k,,PREVIEW_REFERENCE_ONLY,CREATE_NEW_ROUTE_SCREEN,frontend/src/pages/profile/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,ACCOUNT_AUTH,API_PARTIAL,YES,No existing settings destination,Profile route policy needed with 1f,NOT_APPLICABLE
46,2l,2l-mission-create,미션 만들기 폼,ADMIN_MISSION,ADMIN_DASHBOARD,MODAL_DIALOG,,ADMIN_DASHBOARD,2e,미션 목록 관리,OPENS,NO_ROUTE,,,,PRODUCT_MAPPING_UNRESOLVED,CREATE_MODAL_OR_DIALOG,frontend/src/pages/AdminDashboard/views/MissionView/,EXACT_PATH_CONFIRMED,DESKTOP_PRIMARY,SHARED_CANDIDATE_AFTER_WIRING,MARKPOINT,API_READY,NO,MissionView has NewMissionModal,,YES
47,2m,2m-mission-edit,미션 상세 폼,ADMIN_MISSION,ADMIN_DASHBOARD,MODAL_DIALOG,,ADMIN_DASHBOARD,2e,미션 목록 관리,OPENS,NO_ROUTE,,,,PRODUCT_MAPPING_UNRESOLVED,CREATE_MODAL_OR_DIALOG,frontend/src/pages/AdminDashboard/views/MissionView/,EXACT_PATH_CONFIRMED,DESKTOP_PRIMARY,SHARED_CANDIDATE_AFTER_WIRING,MARKPOINT,API_READY,NO,MissionView template edit UI,,YES
48,2n,2n-notification-preferences,알림 세부설정,NOTIFICATION,FAMILY_CONTEXT,NESTED_ROUTE,,FAMILY_CONTEXT,2k,설정 전체 목록,CHILD_OF,NEW_NESTED_ROUTE_REQUIRED,,,,PRODUCT_MAPPING_UNRESOLVED,CREATE_NEW_NESTED_VIEW,frontend/src/pages/profile/,TARGET_DIRECTORY_CANDIDATE,MOBILE_TABLET_PORTRAIT_LANDSCAPE,OWNER_LOCAL,FAMILY,API_PARTIAL,NO,Settings child,,YES
