CANONICAL_ID,OWNER_AGGREGATE,PRODUCT_ENTRY,PRODUCT_CONTAINER,USER_VISIBLE_PURPOSE,INITIAL_LOAD_REQUIREMENT,USER_EVENTS,EXPECTED_SUCCESS_OUTCOME,EMPTY_STATE,ERROR_STATE,PERMISSION_STATE,VALIDATION_STATE,RETRY_BEHAVIOR,CURRENT_DATA_SOURCE,CURRENT_MUTATION_SOURCE,CURRENT_FIXTURE_OR_FALLBACK,EXISTING_FRONTEND_API_CLIENT,EXISTING_BACKEND_ROUTE,EXISTING_BACKEND_SERVICE,EXISTING_SCHEMA,EXISTING_MODEL_TABLE,API_READINESS,ORIGINAL_API_READINESS,POLICY_STATUS,IMPLEMENTATION_STRATEGY,BACKEND_SLICE_ID,AUTHENTICATION_REQUIREMENT,AUTHORIZATION_SCOPE,OWNERSHIP_SCOPE,TEST_COVERAGE_BEFORE,TEST_EVIDENCE_AFTER,FINAL_W7_5_STATUS,NOTES,CAPABILITY_ID,CAPABILITY_STATUS,POLICY_DEPENDENCY
1n,FAMILY_CONTEXT,/family/notifications,frontend/src/features/family-notifications/NotificationsPage.tsx,알림 목록,,,,,,,,,fixture,none,notificationList.fixture.ts,none,"GET/POST /api/notifications/ exists but is legacy player_id-scoped, not Account/family-scoped",domains/notification/service.py,NotificationResponse (legacy),"notifications (legacy, player_id FK)",API_MISSING,API_MISSING,NOT_APPLICABLE,CREATE_NEW_VERTICAL_SLICE,SLICE-NOTIFICATION-LIST,Account-native,self,self (per-Account),,,WIRED_AND_VERIFIED,"PHASE D COMPLETE: new SLICE-NOTIFICATION-LIST (migration 0019, account_notifications, Account-native, not a LegacyIdentityMapping extension per D8). List and 모두 읽음 real. No producer route exists anywhere yet (mission approval etc. do not create a notification) -- a real family sees a real empty list, not the fixture's five invented items. Category filters (포인트/일정/앨범) have no real category data behind them yet, disclosed rather than fabricated.",1n,WIRED_AND_VERIFIED,NONE
1o,FAMILY_CONTEXT,/family/schedule (overlay),frontend/src/features/family-schedule/FamilySchedulePage.tsx (view state),일정 추가,,,,,,,,,fixture,none,scheduleAdd.fixture.ts,none,"none (confirmed via grep, backend inventory)",none,none,none,API_MISSING,API_MISSING,NOT_APPLICABLE,CREATE_NEW_VERTICAL_SLICE,SLICE-SCHEDULE,Account-native,family membership,family_id scoped,,,WIRED_AND_VERIFIED,PHASE D COMPLETE: real POST /schedule-events via the frozen Screen's own real form inputs (title/date/time/place/attendees/memo).,1o,WIRED_AND_VERIFIED,NONE
1p,FAMILY_CONTEXT,/family/album (overlay),frontend/src/features/family-album/FamilyAlbumPage.tsx (view state),사진 상세,,,,,,,,,fixture,none,photoDetail.fixture.ts,none,"none (confirmed via grep, backend inventory)",none,none,none,API_MISSING,API_MISSING,NOT_APPLICABLE,CREATE_NEW_VERTICAL_SLICE,SLICE-ALBUM-METADATA,Account-native,family membership,family_id scoped,,,SCREEN_PARTIALLY_COMPLETE (see CAPABILITY_STATUS),"PHASE D COMPLETE (metadata): real caption/uploader/date. No image ever renders -- no storage abstraction exists anywhere in the backend, same gate as 2v/2z's avatar half.",1p-METADATA; 1p-IMAGE,WIRED_AND_VERIFIED; POLICY_REQUIRED/HUMAN_GATE,NONE; POLICY-ALBUM-STORAGE-INFRA
1q,FAMILY_CONTEXT,/family/members,frontend/src/features/family-members/FamilyMembersPage.tsx,가족 구성원 관리,,,,,,,,,fixture,none,familyMembers.fixture.ts,none yet,GET /api/families/{family_id}/members,domains/family/service.py,MembershipSummary,"family_memberships,accounts",API_PARTIAL,EXISTING_API_READY,NOT_APPLICABLE,EXTEND_EXISTING_API,EXTEND-FAMILY-MEMBERSHIP-SUMMARY,Hybrid,FAMILY_MEMBERS_READ,family_id scoped,NONE (fixture-only container),"Real HTTP 200 GET /api/families/{id}/members verified end-to-end via isolated disposable Postgres + throwaway backend + throwaway Playwright; real account_display_name values (e.g. ""Synthetic Owner A"") confirmed rendered in the DOM, not raw account IDs. Backend suite 309/318 (see 1r note for the unrelated-failure explanation).",WIRED_AND_VERIFIED,"CORRECTED during Phase B implementation attempt: MembershipSummary returns account_id only, no display_name -- a member list rendered from it alone would show raw account IDs, not names. Needs an additive display_name field on MembershipSummary (service-side join to Account), not a UI-only fix. Caught by actually trying to wire it, not by inventory alone -- same discipline as not trusting a classification at face value. PHASE B COMPLETE: added service.get_account() + additive MembershipSummary.account_display_name field (family/schema.py, family/router.py, family/service.py), regenerated frontend/src/generated/openapi.d.ts, wired FamilyMembersPage to listFamilyMembers() with a toFamilyMember() adapter (name/role/letter/isGuardian derived from real roles[]). familyName/tagline/description remain fixture (static copy).",1q,WIRED_AND_VERIFIED,NONE
1r,FAMILY_CONTEXT,/onboarding,frontend/src/features/family-onboarding/OnboardingFlowPage.tsx,온보딩,,,,,,,,,fixture,real local family-name input state; no create-family API call yet,onboarding.fixture.ts,none yet,POST /api/families,domains/family/service.py,FamilyCreate/FamilyResponse,"family_groups,family_memberships",EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,WIRE_EXISTING_API,WIRE-FAMILY-CREATE,Hybrid,any authenticated account (caller becomes member),self (new family),NONE (fixture-only container),"Real HTTP 201 POST /api/families verified via isolated disposable Postgres (port 15435) + throwaway backend + throwaway Playwright script; DB cross-checked (family_groups row created); backend suite 309/318 pass (9 pre-existing unrelated contention failures, 67/67 clean standalone -- see QA evidence). Scratch verification script deleted after use, zero residue.",WIRED_AND_VERIFIED,"Direct fit: POST /api/families already does exactly what this screen needs (name -> new family, caller auto-membered). PHASE B COMPLETE: onNext now calls real createFamily(); loading/error states added to OnboardingScreen (additive props); reloadFamilyContext() refreshes useFamilyContextStore after creation.",1r,WIRED_AND_VERIFIED,NONE
1s,USER_DASHBOARD,/markpoint (overlay),frontend/src/platform/markpoint/MarkpointUser.tsx (overlay state),미션 반려,,,,,,,,,real (title) + fixture (reviewer/reason/checklist/photo),real for non-rejected path (reuses submitMission),missionReject.fixture.ts,shared/api/markpointApi.ts,"POST .../missions/{id}/submit (reused), GET .../missions",domains/markpoint_target/service.py,MissionOut,markpoint_missions,API_PARTIAL,API_PARTIAL,NOT_APPLICABLE,EXTEND_EXISTING_API,EXTEND-MARKPOINT-MISSION-DETAIL,Account-native,active family membership,family_id scoped,,,WIRED_AND_VERIFIED,"PHASE C COMPLETE: rejection_reason already existed on markpoint_missions (set by reject_mission since before this task) but was never exposed on MissionOut -- schema-only fix, same 'field exists, response doesn't carry it' shape as MembershipSummary/ParticipantResponse. reviewer_display_name is a new resolved field (mission_out(), cross-domain via family_service.get_account, same pattern as wagle's participant_display_name). MissionRejectScreen now renders real missionTitle/missionSummary/reviewerName/reason; missionIcon stays static UI decoration.",1s,WIRED_AND_VERIFIED,NONE
1t,WAGLE,/wagle (overlay),frontend/src/platform/wagle/WagleRoomView.tsx (overlay state),채팅방 설정,,,,,,,,,fixture (roomTitle patched real),none,chatSettings.fixture.ts,none,GET .../rooms/{room_id}/participants (member list part is real); no per-room mute-toggle endpoint,domains/wagle/service.py,ParticipantResponse,wagle_participants,API_PARTIAL,API_PARTIAL,"HUMAN_GATE (D6-P2, already registered)",EXTEND_EXISTING_API,EXTEND-WAGLE-ROOM-MEMBER-SETTINGS,Hybrid,room participant,family_id + room_id scoped,,"Real HTTP 200 GET .../participants with real account_display_name values (previously only family_membership_id) verified end-to-end via tests/e2e/specs-mongle/04-w75-data-wiring.spec.ts against an isolated disposable stack. Required an additive ParticipantResponse.account_display_name field (backend/app/domains/wagle/schemas.py, service.py new participant_display_name() cross-domain helper via family_service.get_account(), router.py participant_out() made async) -- same gap shape as 1q's MembershipSummary fix. Backend suite 318/318 clean on re-run (112/112 focused Wagle suite pass); mute/notification toggle sub-feature remains POLICY_REQUIRED (D6-P2, pre-registered).","SCREEN_PARTIALLY_COMPLETE (see CAPABILITY_STATUS -- member-list capability WIRED_AND_VERIFIED, mute-toggle capability POLICY_REQUIRED/HUMAN_GATE on D6-P2; screen-level status intentionally not collapsed to WIRED_AND_VERIFIED)","Member list is wireable now via existing GET .../participants. Per-room mute/notification setting is D6-P2 (""Room별 mute 및 알림 설정""), already registered in active.md as DEFERRED_TO_RELEVANT_TASK_START_GATE -- genuinely policy-blocked, not just unbuilt. PHASE C: member-list portion complete; mute-toggle portion stays its own POLICY_REQUIRED item (D6-P2), not blocking this row's member-list completion.",1t-MEMBER_LIST; 1t-MUTE_TOGGLE,WIRED_AND_VERIFIED; POLICY_REQUIRED/HUMAN_GATE,NONE; D6-P2
1u,FAMILY_CONTEXT,/profile,frontend/src/pages/profile/ProfilePage.tsx,PIN 변경,,,,,,,,,fixture,self-contained step/digit UI state only,none (self-contained component),none yet,"GET/PUT /api/me/wagle/device-pin, POST .../verify|reset|disable",domains/wagle,DevicePin* (approx),wagle_device_pins,POLICY_REQUIRED,EXISTING_API_READY,HUMAN_GATE,POLICY_BLOCKED,WIRE-WAGLE-DEVICE-PIN,Account-native,self device,self,NONE,"Real HTTP 400 from PUT /api/me/wagle/device-pin with a 4-digit PIN, confirmed via curl and via a real Playwright attempt against an isolated disposable stack -- both reproduced the same mismatch before the wiring was reverted.",DESIGN_CONTRACT_MISMATCH,"PHASE B ATTEMPTED, REVERTED: real verification found a genuine contract mismatch, not missing wiring -- the backend requires a 6-digit PIN (""PIN은 숫자 6자리여야 합니다"", confirmed via real HTTP 400), while this frozen W7.3 canonical Screen has a 4-dot/4-key design. Extending the UI to 6 digits would be a visual-baseline redesign, explicitly out of W7.5 scope. Code reverted to its original local-state-only behavior. Reclassified DESIGN_CONTRACT_MISMATCH/HUMAN_GATE -- needs a PM decision (redesign the Screen to 6 digits, or relax the backend PIN-length requirement for this UX) before further engineering, not more effort against the current 4-digit design.",1u,DESIGN_CONTRACT_MISMATCH,DESIGN_CONTRACT_MISMATCH (PIN digit length) -- not a D6 item
1v,FAMILY_CONTEXT,/family/rules,frontend/src/features/family-rules/FamilyRulesPage.tsx,가족 규칙 설정,,,,,,,,,fixture,none,familyRules.fixture.ts,none,none,none,none,"none (RBAC Role/Permission tables exist but are a different concept -- who-can-do-what, not parent-defined behavioral rules)",API_MISSING,API_MISSING,NOT_APPLICABLE,CREATE_NEW_VERTICAL_SLICE,SLICE-FAMILY-RULES,Hybrid,FAMILY_MEMBERS_MANAGE (edit) / FAMILY_READ (view),family_id scoped,,,SCREEN_PARTIALLY_COMPLETE (see CAPABILITY_STATUS),"PHASE D COMPLETE (read): new SLICE-FAMILY-RULES (migration 0014, family_rules table, whole-list PUT replace, FAMILY_MEMBERS_MANAGE-gated). Write side real and tested via the API but frozen Screen has no editable input behind 저장/규칙 선택/규칙 추가.",1v-READ; 1v-WRITE,WIRED_AND_VERIFIED; API_READY_UI_BLOCKED,NONE; NONE
1w,FAMILY_CONTEXT,/family/album (overlay),frontend/src/features/family-album/FamilyAlbumPage.tsx (view state),앨범 검색 결과,,,,,,,,,fixture,none,albumSearch.fixture.ts,none,"none (confirmed via grep, backend inventory)",none,none,none,API_MISSING,API_MISSING,NOT_APPLICABLE,CREATE_NEW_VERTICAL_SLICE,SLICE-ALBUM-METADATA,Account-native,family membership,family_id scoped,,,WIRED_AND_VERIFIED,"PHASE D COMPLETE: real GET /albums/search?q= (caption ILIKE, respects per-album shared_with_membership_ids visibility).",1w,WIRED_AND_VERIFIED,NONE
1x,ADMIN_DASHBOARD,/admin (nested),frontend/src/pages/AdminDashboard/views/DashboardView/,자녀 주간 리포트,,,,,,,,,"real (useAdminData, DashboardView)",real (via useAdminData/usePointView/useMissionView/etc.),none,pages/AdminDashboard/api/adminApi.ts,"various /api/admin/* (see backend inventory, admin aggregator)",domains/admin/router.py (thin wrapper over mission/deduction/daily_point/player/notification services),"various (MissionResponse, DeductionResponse, PlayerListItem, NotificationResponse, etc.)","players,missions,deductions,daily_points,notifications (legacy)",EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,NO_BACKEND_CHANGE_REQUIRED,,Legacy admin (require_admin),admin-only,N/A (legacy platform-wide admin),,,ALREADY_WIRED,,1x,ALREADY_WIRED,NONE
1z,ADMIN_DASHBOARD,/admin (nested),frontend/src/pages/AdminDashboard/components/AdminModal/AdminModal.tsx,기본 모달 폼,,,,,,,,,"real (shared AdminModal, various callers)",real (via useAdminData/usePointView/useMissionView/etc.),none,pages/AdminDashboard/api/adminApi.ts,"various /api/admin/* (see backend inventory, admin aggregator)",domains/admin/router.py (thin wrapper over mission/deduction/daily_point/player/notification services),"various (MissionResponse, DeductionResponse, PlayerListItem, NotificationResponse, etc.)","players,missions,deductions,daily_points,notifications (legacy)",EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,NO_BACKEND_CHANGE_REQUIRED,,Legacy admin (require_admin),admin-only,N/A (legacy platform-wide admin),,,ALREADY_WIRED,,1z,ALREADY_WIRED,NONE
2a,ADMIN_DASHBOARD,/admin (nested),frontend/src/pages/AdminDashboard/views/PlayerView/,사용자 관리 상세,,,,,,,,,real (usePlayerView),real (via useAdminData/usePointView/useMissionView/etc.),none,pages/AdminDashboard/api/adminApi.ts,"various /api/admin/* (see backend inventory, admin aggregator)",domains/admin/router.py (thin wrapper over mission/deduction/daily_point/player/notification services),"various (MissionResponse, DeductionResponse, PlayerListItem, NotificationResponse, etc.)","players,missions,deductions,daily_points,notifications (legacy)",EXISTING_API_READY,EXISTING_API_READY,NOT_APPLICABLE,NO_BACKEND_CHANGE_REQUIRED,,Legacy admin (require_admin),admin-only,N/A (legacy platform-wide admin),,,ALREADY_WIRED,,2a,ALREADY_WIRED,NONE
2b,WAGLE,/wagle (overlay),frontend/src/platform/wagle/WagleRoomView.tsx (overlay state),사진/파일 전체보기,,,,,,,,,fixture (roomTitle patched real),none,fileViewer.fixture.ts,none,none (no file/attachment concept on wagle_messages found in backend inventory),none,none,none,API_MISSING,API_MISSING,HUMAN_GATE,CREATE_NEW_VERTICAL_SLICE,SLICE-WAGLE-ATTACHMENTS,Hybrid,room participant,family_id + room_id scoped,,,POLICY_BLOCKED,"Needs an attachment/file-reference concept on messages plus the same binary-storage infra gap flagged for Album (2v) -- POLICY_REQUIRED-adjacent, not purely unbuilt CRUD.",2b,POLICY_BLOCKED,POLICY-WAGLE-ATTACHMENT-STORAGE-INFRA
2c,USER_DASHBOARD,/markpoint (overlay),frontend/src/platform/markpoint/MarkpointUser.tsx (overlay state),레벨업 축하,,,,,,,,,real (level number/title/lifetime_earned),N/A (celebratory screen),"none (built from real fields, bonus-points placeholder=0)",shared/api/markpointApi.ts,"GET /api/me/markpoint/level,projection",domains/markpoint_target/service.py,LevelOut,markpoint_ledger (lifetime_earned-derived),API_PARTIAL,API_PARTIAL,NOT_APPLICABLE,EXTEND_EXISTING_API,EXTEND-MARKPOINT-LEVEL,Account-native,active family membership,family_id scoped,,,NO_CHANGE_REQUIRED,"PHASE C RECLASSIFIED (was PARTIAL_WIRING_PENDING): level/levelTitle were already real (W7.4). `bonusPoints: 0` is a disclosed absence, not a placeholder awaiting a field -- grep-confirmed no level-up bonus mechanic exists anywhere in the Ledger/mission pipeline. Awarding one is a real economy-affecting business-rule decision (amount, trigger timing, every level vs. milestone) that this task does not have authority to invent silently; recommended as its own small PM item, not built. See MarkpointUser.tsx's own comment at the LevelUpScreen call site.",2c,NO_CHANGE_REQUIRED,NONE
