SOURCE_ORDER,CANONICAL_ID,SCREEN_LABEL,OWNER_AGGREGATE,EXISTING_PRODUCT_VIEW,EXISTING_FUNCTIONAL_LOGIC,CANONICAL_SOURCE,MAPPING_STATUS,INTEGRATION_STRATEGY,INTEGRATION_TYPE,PARENT_CANONICAL_ID,PARENT_PRODUCT_SURFACE,PRODUCT_ROUTE,PRODUCT_TRIGGER,PRODUCT_CONTAINER,PRODUCT_SHELL,CANONICAL_SINGLE_SOURCE_STATUS,EXISTING_BEHAVIOR_PRESERVATION,DATA_WIRING_STATUS,MUTATION_WIRING_STATUS,PRODUCT_ENTRY_TEST_STATUS,RESPONSIVE_SHELL_STATUS,DETACHED_PREVIEW_STATUS,FINAL_PRODUCT_STRUCTURE_STATUS,NOTES
11,1j,PIN 입력,AUTH_FLOW,frontend/src/pages/Auth/components/PinInputView.tsx,"real PIN entry, real authApi.login() call, real session set, real navigate on success",PinEntryPreview,CANONICAL_MAPPING_COMPLETE,KEEP_EXISTING_AS_CANONICAL,AUTH_FLOW_STEP,1a,,/,AuthPage mode='pin' (after player select) - LIVE,frontend/src/pages/Auth/index.tsx,"none (pre-shell, public)",NOT_UNIFIED_BY_DESIGN (real Auth component is the product-facing implementation; canonical Screen remains the frozen W7.3 visual reference for the detached preview only),EXISTING_DATA_BEHAVIOR_PRESERVED (untouched),ALREADY_WIRED (real),ALREADY_WIRED (real),PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"KEEP_EXISTING_AS_CANONICAL: PinInputView is the real, functional, backend-integrated PIN step."
12,1j-1,계정 잠금,AUTH_FLOW,frontend/src/pages/Auth/components/PinInputView.tsx (lockedMessage state),real: shown when authApi.login() returns HTTP 423,AccountLockPreview,CANONICAL_MAPPING_COMPLETE,KEEP_EXISTING_AS_CANONICAL,PAGE_LOCAL_STATE,1j,,/,Real HTTP 423 response within PinInputView - LIVE,frontend/src/pages/Auth/index.tsx,"none (pre-shell, public)",NOT_UNIFIED_BY_DESIGN (real Auth component is the product-facing implementation; canonical Screen remains the frozen W7.3 visual reference for the detached preview only),EXISTING_DATA_BEHAVIOR_PRESERVED (untouched),ALREADY_WIRED (real),ALREADY_WIRED (real),PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"KEEP_EXISTING_AS_CANONICAL: found already implemented as a real conditional state inside PinInputView (not a separate mode/route) - confirmed via direct code read, not assumed."
13,1k,미션 상세,USER_DASHBOARD,NONE (new),NONE,MissionDetailPreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,INLINE_OVERLAY,1c,MarkpointUser (1c),/markpoint (overlay),Clicking a mission title in the weekly mission list - LIVE,frontend/src/platform/markpoint/MarkpointUser.tsx (overlay state),MongleAppShell,"CANONICAL_SINGLE_SOURCE_CONFIRMED (Screen extracted to screens/markpoint/**, both container and detached preview import it)",N/A (no prior product view existed for this specific action),PARTIAL (real title + reward_amount flow through; checklist/photo use canonical fixture as pending adapter),ALREADY_WIRED for non-rejected missions (reuses the real handleSubmit/submitMission API call); MUTATION_WIRING_PENDING for the checklist/photo sub-fields,PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"Extracted screens/markpoint/MissionDetail/MissionDetailScreen.tsx from inline MissionDetailPreview. Real mission data (title, reward) adapted in; submit reuses the existing real submitMission() API call for non-rejected missions."
14,1l,보상 교환,USER_DASHBOARD,NONE (new),NONE,RewardExchangePreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,INLINE_OVERLAY,1c,MarkpointUser (1c),/markpoint (overlay),'보상 교환' button in MarkpointUser header - LIVE,frontend/src/platform/markpoint/MarkpointUser.tsx (overlay state),MongleAppShell,"CANONICAL_SINGLE_SOURCE_CONFIRMED (Screen extracted to screens/markpoint/**, both container and detached preview import it)",N/A (no prior product view existed for this specific action),PARTIAL (real current_balance flows through; reward list uses canonical fixture - no reward-catalog API exists),MUTATION_WIRING_PENDING (no reward-catalog/exchange API),PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"Extracted screens/markpoint/RewardExchange/RewardExchangeScreen.tsx from inline RewardExchangePreview. Distinct canonical ID from 2j per Ownership Matrix (both target MarkpointUser.tsx) - wired as a separate real trigger rather than merged, since collapsing two distinct canonical IDs into one would violate the no-uncontrolled-duplication boundary in the other direction (silently dropping a required screen). The mockup bottom-dock nav present in the original inline preview was intentionally omitted when embedding in the real overlay (would duplicate MongleAppShell real navigation); the detached preview lost this decorative element as a result - disclosed, not a functional regression."
15,1m,관리자 승인 대기함,ADMIN_DASHBOARD,frontend/src/pages/AdminDashboard/views/DashboardView/components/PendingApprovalModal.tsx,"real approval-queue modal, real API",MissionApprovalPreview,CANONICAL_MAPPING_COMPLETE,KEEP_EXISTING_AS_CANONICAL,ALREADY_PRODUCT_BOUND,2e,DashboardView (2i),/admin (nested),AdminDashboard Sidebar/MobileDrawer nav - LIVE (pre-existing),frontend/src/pages/AdminDashboard/views/DashboardView/components/PendingApprovalModal.tsx,MongleAppShell > AdminLayout,NOT_UNIFIED_BY_DESIGN (real admin view is the product-facing implementation; canonical Screen remains the frozen W7.3 visual reference for the detached preview only - same reasoning as 1b/1c/1d),EXISTING_DATA_BEHAVIOR_PRESERVED (untouched),ALREADY_WIRED (real),ALREADY_WIRED (real),PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"KEEP_EXISTING_AS_CANONICAL: real AdminDashboard component (frontend/src/pages/AdminDashboard/views/DashboardView/components/PendingApprovalModal.tsx) already provides equivalent functionality independently of the W7.3 canonical mockup track, with real backend logic the mockup does not represent. Same no-reskin reasoning as 1b/1c/1d."
16,1n,알림 목록,FAMILY_CONTEXT,NO_EXISTING_PRODUCT_VIEW,NONE,NotificationListPreview,CANONICAL_MAPPING_CONFIRMED,CREATE_NEW_PRODUCT_CONTAINER,ROUTE_PAGE,1b,frontend/src/platform/pages/FamilyLanding.tsx,/family/notifications,frontend/src/platform/pages/FamilyLanding.tsx data-testid='feature-notifications' Link to /family/notifications,frontend/src/features/family-notifications/NotificationsPage.tsx,MongleAppShell,CANONICAL_SINGLE_SOURCE_CONFIRMED,NO_PRIOR_PRODUCT_BEHAVIOR_TO_PRESERVE,DATA_AND_BEHAVIOR_WIRING_PENDING,MUTATION_WIRING_PENDING,DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,New screens/family/NotificationList/* extraction from prior inline NotificationListPreview. onFilter wired to real local useState (genuine Screen-local UI state); onMarkAllRead/onSelectNotification are no-ops pending a real notifications API.
17,1o,일정 추가,FAMILY_CONTEXT,NONE (empty scaffold),NONE,ScheduleAddPreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,INLINE_OVERLAY,1g,FamilyScheduleScreen (1g),/family/schedule (overlay),'+ 일정 추가' button in FamilyScheduleScreen (1g) - LIVE,frontend/src/features/family-schedule/FamilySchedulePage.tsx (view state),MongleAppShell,CANONICAL_SINGLE_SOURCE_CONFIRMED,N/A (no prior product view existed),DATA_AND_BEHAVIOR_WIRING_PENDING,MUTATION_WIRING_PENDING (no schedule/album/todo API),PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,Extracted screens/family/ScheduleAdd/ScheduleAddScreen.tsx from inline ScheduleAddPreview.
18,1p,사진 상세,FAMILY_CONTEXT,NONE (empty scaffold),NONE,PhotoDetailPreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,INLINE_OVERLAY,1h,FamilyAlbumScreen (1h),/family/album (overlay),Selecting a photo in FamilyAlbumScreen (1h) or AlbumSearchScreen (1w) - LIVE,frontend/src/features/family-album/FamilyAlbumPage.tsx (view state),MongleAppShell,CANONICAL_SINGLE_SOURCE_CONFIRMED,N/A (no prior product view existed),DATA_AND_BEHAVIOR_WIRING_PENDING,MUTATION_WIRING_PENDING (no schedule/album/todo API),PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,Extracted screens/family/PhotoDetail/PhotoDetailScreen.tsx from inline PhotoDetailPreview.
19,1q,가족 구성원 관리,FAMILY_CONTEXT,NO_EXISTING_PRODUCT_VIEW,NONE,FamilyMembersPreview,CANONICAL_MAPPING_CONFIRMED,CREATE_NEW_PRODUCT_CONTAINER,ROUTE_PAGE,1b,frontend/src/platform/pages/FamilyLanding.tsx,/family/members,frontend/src/platform/pages/FamilyLanding.tsx data-testid='feature-members' Link to /family/members,frontend/src/features/family-members/FamilyMembersPage.tsx,MongleAppShell,CANONICAL_SINGLE_SOURCE_CONFIRMED,NO_PRIOR_PRODUCT_BEHAVIOR_TO_PRESERVE,DATA_AND_BEHAVIOR_WIRING_PENDING,MUTATION_WIRING_PENDING,DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,Root of family-members domain. New screens/family/FamilyMembers/* extraction from prior inline FamilyMembersPreview. onEdit callback wired to no-op (no edit screen exists in the 5-screen set; DATA_AND_BEHAVIOR_WIRING_PENDING). Added optional pendingChildRequestName field + onViewRequests prop as the real trigger into 2f (no other reachable entry point existed for it).
20,1r,온보딩,FAMILY_CONTEXT,NONE (new),NONE,OnboardingPreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,ROUTE_PAGE,,,/onboarding,"""가족 만들기"" link in FamilyLanding zero-families state - LIVE",frontend/src/features/family-onboarding/OnboardingFlowPage.tsx,MongleAppShell,"CANONICAL_SINGLE_SOURCE_CONFIRMED (Screen extracted/imported, both container and detached preview consume it)","N/A (frontend/src/features/family-onboarding/ was an empty scaffold, no prior product view existed)",DATA_AND_BEHAVIOR_WIRING_PENDING (real local family-name input state; no create-family API),MUTATION_WIRING_PENDING (no family-create/PIN-save API exists),DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"Extracted screens/family/Onboarding/OnboardingScreen.tsx from the inline OnboardingPreview. New route /onboarding registered; real trigger added to FamilyLanding (previously a dead-end ""참여 중인 가족이 없습니다"" message with no way forward)."
21,1s,미션 반려,USER_DASHBOARD,NONE (new),NONE,MissionRejectPreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,INLINE_OVERLAY,1k,MissionDetailScreen overlay (1k),/markpoint (overlay),'완료 인증 제출하기' on a rejected mission's detail overlay (1k) - LIVE,frontend/src/platform/markpoint/MarkpointUser.tsx (overlay state),MongleAppShell,"CANONICAL_SINGLE_SOURCE_CONFIRMED (Screen extracted to screens/markpoint/**, both container and detached preview import it)",N/A (no prior product view existed for this specific action),PARTIAL (real mission title flows through; reviewer/reason use canonical fixture - no rejection-reason API),MUTATION_WIRING_PENDING (no resubmit API),PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,Extracted screens/markpoint/MissionReject/MissionRejectScreen.tsx. Reached when a mission with status=rejected is opened.
22,1t,채팅방 설정,WAGLE,NONE (new),NONE,ChatSettingsPreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,INLINE_OVERLAY,1d,WagleRoomView (1d),/wagle (overlay),WagleRoomView room-header ⚙ button - LIVE,frontend/src/platform/wagle/WagleRoomView.tsx (overlay state),MongleAppShell,"CANONICAL_SINGLE_SOURCE_CONFIRMED (Screen extracted to screens/wagle/**, both product container and detached preview import it)",N/A (no prior product view existed),DATA_AND_BEHAVIOR_WIRING_PENDING (real room title threaded through; member/toggle data uses canonical fixture as explicit pending adapter),MUTATION_WIRING_PENDING (no backend API for this sub-feature yet),PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"Extracted screens/wagle/ChatSettings/ChatSettingsScreen.tsx from the inline ChatSettingsPreview. Wired as a real overlay via WagleRoomView local state, triggered by a real header button."
23,1u,PIN 변경,FAMILY_CONTEXT,NONE (frontend/src/pages/profile/ was an empty scaffold),NONE,PinChangePreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,PAGE_LOCAL_STATE,1f,ProfilePage (1f),/profile,'PIN 변경' item in settings list (2k) or profile home (1f) - LIVE,frontend/src/pages/profile/ProfilePage.tsx,MongleAppShell,CANONICAL_SINGLE_SOURCE_CONFIRMED,N/A (no prior product view existed),DATA_AND_BEHAVIOR_WIRING_PENDING (self-contained step/digit UI state; no PIN-change API),MUTATION_WIRING_PENDING (no profile/notification/language/theme/account-deletion API),PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"Extracted screens/family/PinChange/PinChangeScreen.tsx — kept its already-real self-contained step/digit state machine from the inline preview, added onBack/onComplete props."
24,1v,가족 규칙 설정,FAMILY_CONTEXT,NO_EXISTING_PRODUCT_VIEW,NONE,FamilyRulesPreview,CANONICAL_MAPPING_CONFIRMED,CREATE_NEW_PRODUCT_CONTAINER,ROUTE_PAGE,1b,frontend/src/platform/pages/FamilyLanding.tsx,/family/rules,frontend/src/platform/pages/FamilyLanding.tsx data-testid='feature-rules' Link to /family/rules (added this pass; no such link existed before),frontend/src/features/family-rules/FamilyRulesPage.tsx,MongleAppShell,CANONICAL_SINGLE_SOURCE_CONFIRMED,NO_PRIOR_PRODUCT_BEHAVIOR_TO_PRESERVE,DATA_AND_BEHAVIOR_WIRING_PENDING,MUTATION_WIRING_PENDING,DIRECT_PRODUCT_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,"New screens/family/FamilyRules/* extraction from prior inline FamilyRulesPreview. onSave/onSelectRule/onAddRule are no-ops pending a real rules API. Container adds a locally-added ""가족 규칙 안내 보기"" trigger button (no such button existed in the original mockup) as the real entry point into 2q."
25,1w,앨범 검색 결과,FAMILY_CONTEXT,NONE (empty scaffold),NONE,AlbumSearchPreview,CANONICAL_MAPPING_COMPLETE,CREATE_NEW_PRODUCT_CONTAINER,INLINE_OVERLAY,1h,FamilyAlbumScreen (1h),/family/album (overlay),search button in FamilyAlbumScreen (1h) - LIVE,frontend/src/features/family-album/FamilyAlbumPage.tsx (view state),MongleAppShell,CANONICAL_SINGLE_SOURCE_CONFIRMED,N/A (no prior product view existed),DATA_AND_BEHAVIOR_WIRING_PENDING,MUTATION_WIRING_PENDING (no schedule/album/todo API),PARENT_TRIGGER_ENTRY_VERIFIED,VERIFIED_3_VIEWPORTS_390x844_820x1180_1180x820,REGRESSION_PASS,PRODUCT_STRUCTURE_INTEGRATED,Extracted screens/family/AlbumSearch/AlbumSearchScreen.tsx from inline AlbumSearchPreview.
